price,name,url
19.99,"QHYRGEY Portable Charger for iPhone, 5000mAh Mini Power Bank with Built-in Cable & Phone Stand, Small Battery Pack Compatible with for iPhone14/13/12/11/Pro/XS/XR/X/8/7/6/Plus AirPods and More, White",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NTcwNzQwMTM0NjExNjcyOjE2OTkwODc5NTA6c3BfbXRmOjMwMDA0NTM0MjY1MDQwMjo6MDo6&url=%2FQHYRGEY-Portable-Charger-Compatible-iPhone14%2Fdp%2FB0C2GWP5SV%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dpower%2Bbank%26qid%3D1699087950%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
28.91,"INIU Portable Charger, 22.5W 20000mAh USB C in & Out Power Bank Fast Charging, PD 3.0+QC 4.0 LED Display Phone Battery Pack Compatible with iPhone 15 14 13 12 Pro Samsung S21 Google iPad Tablet, etc.",https://www.amazon.com/INIU-Portable-20000mAh-High-speed-Flashlight/dp/B07YPY31FL/ref=sr_1_13?keywords=power+bank&qid=1699087950&sr=8-13
29.99,"VRURC Portable Charger with Built-in Cables, 10000mAh LED Display USB C Power Bank, 5 Output 2 Input Travel Phone Charger, Slim External Battery Compatible with iPhone,Samsung,Android etc-Green",https://www.amazon.com/VRURC-Portable-10000mAh-Compatible-etc-Green/dp/B0BXX7FFZJ/ref=sr_1_14?keywords=power+bank&qid=1699087950&sr=8-14
34.95,"Wireless Portable Charger Power Bank, 33800mAh 15W Fast Wireless Charging 25W PD QC 4.0 USB-C Power Bank, 5 Output & Dual Input External Battery Pack Compatible with iPhone 15/14/13/12/11,Android etc",https://www.amazon.com/Wireless-Portable-33800mAh-Charging-Compatible/dp/B09265SVN9/ref=sr_1_15?keywords=power+bank&qid=1699087950&sr=8-15
31.95,"Portable Charger Power Bank 30,800mAh LCD Display Power Bank,25W PD Fast Charging +QC 4.0 Quick Phone Charging Power Bank Tri-Outputs Battery Pack Compatible with iPhone,Android etc(Black)",https://www.amazon.com/Portable-Charger-Charging-Tri-Outputs-Compatible/dp/B091BSG9GS/ref=sr_1_16?keywords=power+bank&qid=1699087950&sr=8-16
9.38,"VANYUST S22 Portable Charger, 5000mAh Mini Power Bank 3-Port Output (USB-C in&Out) Fast Charging, External Battery Pack Compatible for iPhone 14/13/12/11 Series, Samsung, Android, and More (Blue)",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NTcwNzQwMTM0NjExNjcyOjE2OTkwODc5NTA6c3BfbXRmOjMwMDA4MDA4NDg5NzQwMjo6MDo6&url=%2FSIXTHGU-Portable-Capacity-External-Indicator%2Fdp%2FB08QHG7BTB%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dpower%2Bbank%26qid%3D1699087950%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA2MG158CENDOWM
25.95,"Portable Charger Power Bank 25800mAh, Ultra-High Capacity Fast Phone Charging with Newest Intelligent Controlling IC, 2 USB Port External Cell Phone Battery Pack Compatible with iPhone,Android etc",https://www.amazon.com/Portable-25800mAh-Ultra-High-Intelligent-Controlling/dp/B07XQ94ZL9/ref=sr_1_18?keywords=power+bank&qid=1699087950&sr=8-18
19.99,Power-Bank-Portable-Charger - 16000mAh Power Bank Support PD 30W and QC4.0 Fast Charger with Built-in 2 Output Cable and LED Display for iPhone and Android Phones and Most Electronic Devices,https://www.amazon.com/Power-Bank-Portable-Charger-16000mAh-Charging-Built-Electronic/dp/B0BWDDDZJ5/ref=sr_1_19?keywords=power+bank&qid=1699087950&sr=8-19
16.99,"IXNINE Power Bank 26800mAh Portable Charger, High Capacity Phone Charger Compact External Battery Pack with LED Display and 4 Fast Charging Outputs for Cellphone Tablet",https://www.amazon.com/26800mAh-Portable-IXNINE-Capacity-External/dp/B08BRDVGP1/ref=sr_1_20?keywords=power+bank&qid=1699087950&sr=8-20
12.99,IXNINE Solar Charger 27000mAh Power Bank 3A USB C Fast Charging Portable Solar Phone Charger Camping External Battery Pack with 3 Outputs for Cellphone Tablets,https://www.amazon.com/IXNINE-27000mAh-Charging-Portable-Cellphone/dp/B0C4DXD45X/ref=sr_1_21?keywords=power+bank&qid=1699087950&sr=8-21
25.95,"ONLYNEW Portable Charger 32000 mAh - USB C Fast Charging Power Bank PD 4.0 & QC 4.0 PD 20W Huge Capacity External Battery Pack PowerBank with Flashlight for iPhone, Samsung Galaxy, iPad etc",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NTcwNzQwMTM0NjExNjcyOjE2OTkwODc5NTA6c3BfYnRmOjIwMDE3ODU4NDAxMzM5ODo6MDo6&url=%2FONLYNEW-Portable-Charger-32000-mAh%2Fdp%2FB0C2TTXN5G%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dpower%2Bbank%26qid%3D1699087950%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
19.99,"QHYRGEY Portable Charger for iPhone, 5000mAh Mini Power Bank with Built-in Cable & Phone Stand, Small Battery Pack Compatible with for iPhone14/13/12/11/Pro/XS/XR/X/8/7/6/Plus AirPods and More, White",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1OTk4MzEyMzI0OTQyNjcyOjE2OTkwODc5NTE6c3BfYXRmX25leHQ6MzAwMDQ1MzQyNjUwNDAyOjowOjo&url=%2FQHYRGEY-Portable-Charger-Compatible-iPhone14%2Fdp%2FB0C2GWP5SV%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dpower%2Bbank%26qid%3D1699087951%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
27.99,"Portable Charger, 33800mAh Power Bank, 22.5W Fast Charging Battery Pack with USB C/USB A Output, Digital Display Portable Phone Charger for iPhone 14/13/12 Pro Samsung Google LG iPad AirPods",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1OTk4MzEyMzI0OTQyNjcyOjE2OTkwODc5NTE6c3BfYXRmX25leHQ6MzAwMDU4MTk4Mjk3NTAyOjowOjo&url=%2FPortable-Charger-33800mAh-Charging-Battery%2Fdp%2FB0CBBQNW4K%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dpower%2Bbank%26qid%3D1699087951%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
19.99,"Miady 2-Pack 10000mAh Dual USB Portable Charger, USB-C Fast Charging Power Bank, Backup Charger for iPhone 15/14/13, Galaxy S23/22, Pixel and etc",https://www.amazon.com/Miady-10000mAh-Portable-Charger-Charging/dp/B07XFBN7HX/ref=sr_1_19?keywords=power+bank&qid=1699087951&sr=8-19
25.95,"Portable Charger Power Bank 26800mah,Ultra-High Capacity Safer External Cell Phone Battery Pack,2 USB Output High Speed Charging Power bank Compatible with iPhone 15/14/13/12/11 Samsung Android LG etc",https://www.amazon.com/Portable-26800mah-Ultra-High-High-Performance-Smartphone/dp/B07ZX22KJS/ref=sr_1_20?keywords=power+bank&qid=1699087951&sr=8-20
34.95,"Wireless Portable Charger 30,800mAh 15W Wireless Charging 25W PD QC4.0 Fast Charging Smart LED Display USB-C Power Bank, 4 Output & 2 Input External Battery Pack Compatible with iPhone, Samsung etc",https://www.amazon.com/Wireless-Portable-Charging-External-Compatible/dp/B0915T91JN/ref=sr_1_21?keywords=power+bank&qid=1699087951&sr=8-21
16.99,"YILANS Portable Charger, 18000mAh Power Bank 22.5W Fast Charging, USB C Battery Pack with LED Display, Slim Portable Phone Charger for iPhone 15 14 13 12 Series Samsung Google iPad etc",https://www.amazon.com/YILANS-Portable-Charger-18000mAh-Charging/dp/B0BZRWPBC6/ref=sr_1_22?keywords=power+bank&qid=1699087951&sr=8-22
27.99,"Portable Charger, 33800mAh Power Bank, 22.5W Fast Charging Battery Pack with USB C/USB A Output, Digital Display Portable Phone Charger for iPhone 14/13/12 Pro Samsung Google LG iPad AirPods",https://www.amazon.com/Portable-Charger-33800mAh-Charging-Battery/dp/B0CBBQNW4K/ref=sr_1_23?keywords=power+bank&qid=1699087951&sr=8-23
25.98,"Anker PowerCore 10000 Portable Charger, 10K Power Bank, Ultra-Compact Battery Pack, Phone Charger for iPhone 15/15 Plus/15 Pro/15 Pro Max, Samsung and More",https://www.amazon.com/Anker-PowerCore-Ultra-Compact-High-Speed-Technology/dp/B0194WDVHI/ref=sr_1_24?keywords=power+bank&qid=1699087951&sr=8-24
39.98,POIYTL Power Bank 50000mAh 22.5W Fast Charging Portable Charger USB-C Quick Charge with 3 Outputs & 2 Inputs LED Display Huge Capacity External Battery Pack for Most Electronic Devices on The Market,https://www.amazon.com/POIYTL-50000mAh-Charging-Portable-Capacity/dp/B0BF54MTCG/ref=sr_1_25?keywords=power+bank&qid=1699087951&sr=8-25
24.99,"𝟮𝟬𝟮𝟯 𝙐𝙥𝙜𝙧𝙖𝙙𝙚 Solar Power Bank, Solar Charger, 38800mAh Outdoor Portable Charger, External Battery Pack 5V/3.1A Fast Charger Type C Ports with LED Flashlights, Perfect for Travel Camping",https://www.amazon.com/%F0%9D%9F%AE%F0%9D%9F%AC%F0%9D%9F%AE%F0%9D%9F%AF-%F0%9D%99%90%F0%9D%99%A5%F0%9D%99%9C%F0%9D%99%A7%F0%9D%99%96%F0%9D%99%99%F0%9D%99%9A-38800mAh-Portable-Flashlights/dp/B0CBTLG2MR/ref=sr_1_26?keywords=power+bank&qid=1699087951&sr=8-26
27.99,"VRURC Portable Charger Built-in Cables and AC Wall Plug, USB C Power Bank 10000mAh, [2023 Upgraded Version] Phone Charger Compact Lightweight External Battery Pack for Smart Phones, Tablets etc-Pink",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1OTk4MzEyMzI0OTQyNjcyOjE2OTkwODc5NTE6c3BfbXRmOjMwMDAwNTY1MTA0MjMwMjo6MDo6&url=%2FVRURC-Portable-10000mAh-Upgraded-Lightweight%2Fdp%2FB0BZC1HC3Y%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Dpower%2Bbank%26qid%3D1699087951%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
18.99,"Portable Wireless Charger for Apple Watch, Hagibis Compact Magnetic iWatch Charger 1200mAh Power Bank Keychain Style Series, Compatible with Apple Watch Series 1/2/3/4/5/6/7/8/SE",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1OTk4MzEyMzI0OTQyNjcyOjE2OTkwODc5NTE6c3BfbXRmOjMwMDA2Nzg5MDk1NDcwMjo6MDo6&url=%2FPortable-Wireless-Hagibis-Magnetic-Compatible%2Fdp%2FB0CD3VT9BF%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dpower%2Bbank%26qid%3D1699087951%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
11.99,"Aibocn Power Bank 10,000mAh Phone Portable Charger with Flashlight (White+Black)",https://www.amazon.com/Aibocn-External-Battery-Flashlight-Smartphones/dp/B00VWV8LD4/ref=sr_1_29?keywords=power+bank&qid=1699087951&sr=8-29
25.95,"Portable Charger Power Bank 25800Mah Huge Capacity External Battery Pack,Dual Output High Speed Charging Power Bank with 4 LED Indicator Compatible with iPhone 15/14/13/12/8,Samsung Android Phone etc",https://www.amazon.com/Portable-25800mAh-Capacity-Indicator-etc%EF%BC%88Black%EF%BC%89/dp/B07TSHW85D/ref=sr_1_30?keywords=power+bank&qid=1699087951&sr=8-30
29.99,"VEEKTOMX Mini Power Bank 10000mAh, 22.5W Fast Charging Small Portable Charger with PD 3.0 & QC 3.0,USB C Slim Lightweight iPhone Charger, Dual Output Compatible with iPhone, Samsung,Travel Must Haves",https://www.amazon.com/VEEKTOMX-10000mAh-Charging-Portable-Competible/dp/B09BBCPC3X/ref=sr_1_31?keywords=power+bank&qid=1699087951&sr=8-31
27.99,"VRURC Portable Charger Built-in Cables and AC Wall Plug, USB C Power Bank 10000mAh, [2023 Upgraded Version] Phone Charger Compact Lightweight External Battery Pack for Smart Phones, Tablets etc-Blue",https://www.amazon.com/VRURC-Portable-10000mAh-Upgraded-Lightweight/dp/B0BZC3CGS4/ref=sr_1_32?keywords=power+bank&qid=1699087951&sr=8-32
23.99,"Solar Power Bank 36800mAh Portable Solar Charger 5V3.1A,QC 3.0 Dual 2 USB,LED Flashlights Port Strong LED IPX7 Flashlight,Waterproof, Dustproof, Shockproof (Black)",https://www.amazon.com/Flashlights-Flashlight-Waterproof-Dustproof-Shockproof/dp/B08PVB41HV/ref=sr_1_33?keywords=power+bank&qid=1699087951&sr=8-33
23.99,"CONXWAN Portable Charger 26800mAh Power Bank 22.5W Fast Charging, 4 USB Outputs 20W PD External Backup Charger Cell Phone USB C Battery Pack Compatible with iPhone Tablets Galaxy Android",https://www.amazon.com/Portable-Charger-26800mAh-Capacity-External/dp/B08729Z2JX/ref=sr_1_34?keywords=power+bank&qid=1699087951&sr=8-34
137.50,"Anker Power Bank, 24K 3-Port Portable Charger with 140W Output, Smart Digital Display, Compatible with iPhone 15/15 Plus/15 Pro/15 Pro Max, iPhone 14/13 Series, Samsung, MacBook, Dell, AirPods",https://www.amazon.com/A
